,B01003_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B01001I_001E,B09020_001E,B15003_002E,B15003_017E,B15003_022E,B15003_023E,B15003_025E,B17001_002E,B27001_002E,B27001_030E,NAME,state,place
1,174,0,0,0,0,0,0,0,0,0,0,0,0,150,24,0,0,0,0,0,0,0,0,0,0,0,45,69,105,"Abanda CDP, Alabama",01,00100
2,2594,51,40,35,60,40,29,8,27,109,130,35,76,1463,1083,0,0,0,14,117,640,34,567,112,112,4,500,1248,1164,"Abbeville city, Alabama",01,00124
3,4404,49,67,84,46,67,0,25,65,201,122,64,24,2077,2284,0,0,0,7,7,814,23,755,283,103,38,701,2063,2326,"Adamsville city, Alabama",01,00460
4,725,15,12,38,13,5,0,24,14,29,9,9,6,685,0,3,0,0,0,0,174,5,171,59,38,0,246,385,340,"Addison town, Alabama",01,00484
5,318,0,5,2,0,1,6,2,2,14,2,0,0,70,248,0,0,0,0,0,34,1,52,5,1,0,155,139,179,"Akron town, Alabama",01,00676
6,32567,255,286,354,248,210,101,333,530,402,445,239,303,24110,4732,83,282,7,2602,3296,3706,173,3959,4543,2241,243,3581,15867,16408,"Alabaster city, Alabama",01,00820
7,21342,131,297,357,193,78,100,210,341,440,303,253,241,19813,630,33,123,0,528,6211,2944,428,3482,1129,387,70,6042,10253,10812,"Albertville city, Alabama",01,00988
8,14705,120,194,284,215,90,167,132,319,417,161,238,254,8714,5268,37,148,0,415,750,2591,213,2681,1047,354,21,3980,6511,7911,"Alexander City city, Alabama",01,01132
9,4202,29,62,70,28,17,3,0,27,114,60,0,0,3848,337,17,0,0,0,65,410,48,846,376,142,31,249,1908,2294,"Alexandria CDP, Alabama",01,01180
10,2466,0,16,7,23,18,23,28,43,60,28,54,71,548,1882,0,0,0,0,14,371,32,530,147,78,5,842,1167,1270,"Aliceville city, Alabama",01,01228
11,606,0,5,5,14,0,0,18,5,2,12,2,7,544,0,15,0,0,25,320,70,6,68,8,3,0,163,331,275,"Allgood town, Alabama",01,01396
12,861,5,13,29,2,14,0,19,28,13,3,9,7,825,10,3,2,0,0,23,142,11,213,20,21,0,131,385,427,"Altoona town, Alabama",01,01660
13,8918,78,77,145,132,87,80,105,98,241,187,213,206,6350,2367,0,78,0,51,192,1649,63,1720,786,325,23,1483,3923,4643,"Andalusia city, Alabama",01,01708
14,242,0,3,5,1,2,0,3,14,8,10,6,1,238,0,2,0,0,0,0,53,16,57,13,8,0,39,102,140,"Anderson town, Alabama",01,01756
15,22097,392,322,555,226,144,190,498,460,648,377,426,448,9951,10867,11,430,0,59,452,4686,281,4293,1684,1130,154,6242,9370,11767,"Anniston city, Alabama",01,01852
16,8200,73,138,155,111,57,59,107,157,205,191,145,143,7853,62,32,97,1,41,121,1541,71,1265,925,380,18,1417,3834,4246,"Arab city, Alabama",01,02116
17,1490,9,48,35,10,0,6,22,41,36,20,16,5,1359,85,13,6,0,0,9,248,16,345,90,76,0,311,669,818,"Ardmore town, Alabama",01,02260
18,4191,14,83,60,57,64,0,0,150,12,14,73,0,4034,104,0,13,0,0,72,527,0,830,260,161,21,274,2112,2079,"Argo town, Alabama",01,02320
19,713,6,9,7,2,3,0,14,6,15,14,0,9,489,170,0,0,0,14,23,85,4,149,26,28,4,281,338,375,"Ariton town, Alabama",01,02428
20,519,3,3,15,9,7,5,2,22,13,8,9,4,517,0,1,1,0,0,0,100,6,132,36,15,3,179,226,293,"Arley town, Alabama",01,02500
21,2209,25,30,41,36,22,17,10,45,94,48,34,17,1706,407,23,3,0,3,37,419,20,498,152,90,14,321,1004,1205,"Ashford town, Alabama",01,02836
22,2113,28,14,11,24,41,14,7,92,66,16,49,57,1634,419,26,6,0,8,72,419,2,291,135,39,20,480,817,1155,"Ashland town, Alabama",01,02860
23,2424,46,14,19,26,27,10,51,42,27,10,15,26,1642,671,0,28,0,0,37,313,9,573,112,38,19,542,1074,1262,"Ashville city, Alabama",01,02908
24,24735,237,362,423,283,296,227,242,338,650,541,430,339,18900,4060,329,387,62,413,1991,4368,277,3976,3295,903,133,4053,11579,12582,"Athens city, Alabama",01,02956
25,9969,116,76,208,85,134,43,159,160,195,194,126,148,4194,5252,196,32,54,66,81,1644,85,2486,433,183,18,1746,3299,4173,"Atmore city, Alabama",01,03004
26,5884,17,117,94,40,23,7,49,83,129,113,86,87,4397,1206,0,0,63,37,350,845,25,1123,217,217,15,657,2778,2957,"Attalla city, Alabama",01,03028
27,61462,334,489,464,338,309,189,510,443,669,614,259,257,44204,10780,54,4749,0,1036,3082,4875,205,2993,8654,4854,2332,16656,30397,30854,"Auburn city, Alabama",01,03076
28,903,15,0,17,42,4,2,0,8,35,17,18,10,214,671,0,0,0,18,21,168,22,229,21,7,9,227,417,486,"Autaugaville town, Alabama",01,03220
29,454,0,11,7,5,7,3,2,20,17,7,9,7,429,10,15,0,0,0,9,95,4,92,29,25,0,36,192,262,"Avon town, Alabama",01,03364
30,1336,0,15,0,0,0,0,47,0,44,0,0,0,446,810,0,80,0,0,0,106,0,92,152,77,0,103,622,714,"Axis CDP, Alabama",01,03508
31,554,2,1,17,6,5,0,0,2,15,18,4,6,554,0,0,0,0,0,10,76,1,123,20,6,4,160,270,284,"Babbie town, Alabama",01,03556
32,872,2,10,13,16,4,3,18,10,28,13,13,17,863,0,0,0,0,0,55,147,12,171,50,4,4,216,471,401,"Baileyton town, Alabama",01,03676
33,235,2,11,4,1,4,5,2,9,4,2,3,7,135,100,0,0,0,0,2,54,3,51,3,12,0,43,103,132,"Bakerhill town, Alabama",01,03724
34,1707,19,23,43,39,0,8,33,26,79,24,0,9,1643,0,0,0,0,0,0,303,0,236,150,0,0,114,753,954,"Ballplay CDP, Alabama",01,03820
35,110,0,2,2,6,0,0,0,0,7,0,0,2,82,28,0,0,0,0,0,19,0,21,13,2,0,39,59,51,"Banks town, Alabama",01,03940
36,8990,71,70,149,122,106,76,59,167,151,152,88,107,4935,3727,32,36,0,132,228,1318,44,1634,626,197,0,1993,3938,4300,"Bay Minette city, Alabama",01,04660
37,2543,21,28,33,23,21,0,37,11,13,33,9,8,1329,413,4,637,0,0,205,237,118,367,67,8,5,804,1200,1343,"Bayou La Batre city, Alabama",01,04684
38,1185,7,33,68,19,0,0,14,34,37,19,9,0,1161,0,6,0,0,0,0,240,20,269,31,18,0,285,624,561,"Bear Creek town, Alabama",01,04852
39,266,2,5,7,3,0,1,0,1,6,17,1,8,56,210,0,0,0,0,0,51,2,57,3,10,0,95,96,170,"Beatrice town, Alabama",01,04900
40,256,9,3,6,5,0,0,1,0,3,6,11,1,249,2,0,0,0,2,8,45,0,76,16,4,0,33,146,110,"Beaverton town, Alabama",01,04948
41,78,0,0,0,0,0,0,0,0,0,5,6,0,78,0,0,0,0,0,0,11,0,12,6,0,10,15,54,24,"Belgreen CDP, Alabama",01,05140
42,247,1,9,15,2,4,4,16,7,11,6,0,0,247,0,0,0,0,0,0,75,0,44,8,4,0,76,127,120,"Belk town, Alabama",01,05164
43,469,54,22,74,0,0,0,0,0,0,8,31,36,89,380,0,0,0,0,0,225,0,301,8,0,0,104,277,192,"Bellamy CDP, Alabama",01,05188
44,581,8,0,10,0,8,9,10,0,10,0,15,0,528,53,0,0,0,0,32,70,7,39,43,0,0,117,235,346,"Belle Fontaine CDP, Alabama",01,05212
45,45,0,0,5,0,0,3,0,8,0,0,0,0,45,0,0,0,0,0,0,16,0,6,3,15,0,0,23,22,"Benton town, Alabama",01,05692
46,1443,20,3,30,14,12,3,2,18,18,28,8,6,1374,58,0,5,0,0,0,162,15,248,58,21,0,477,651,792,"Berry town, Alabama",01,05932
47,26697,396,331,353,324,186,220,337,511,658,487,547,483,6501,18657,48,17,6,1112,1264,4833,224,5916,1853,407,68,7773,12282,13920,"Bessemer city, Alabama",01,05980
48,114,4,4,1,1,1,0,1,3,2,1,7,4,68,44,2,0,0,0,0,29,0,16,3,0,0,37,55,59,"Billingsley town, Alabama",01,06460
49,212265,1974,2398,2964,1811,1597,1220,2604,2692,3815,3082,2454,2712,52201,151878,405,1802,20,3096,7332,29323,1768,35159,23409,8460,1880,57730,98768,110353,"Birmingham city, Alabama",01,07000
50,165,1,1,2,4,2,0,0,4,2,5,2,0,162,0,0,0,0,0,0,23,2,55,8,3,0,26,79,86,"Black town, Alabama",01,07120
51,1750,27,24,23,16,2,8,32,12,47,24,20,19,1617,60,0,6,0,24,193,254,56,332,61,28,10,665,854,896,"Blountsville town, Alabama",01,07456
52,1603,19,35,77,29,30,46,17,38,56,53,18,40,1536,14,25,28,0,0,25,458,0,157,304,155,38,19,878,725,"Blue Ridge CDP, Alabama",01,07588
53,123,6,3,7,1,0,0,10,2,5,3,4,0,95,28,0,0,0,0,0,41,0,46,6,1,0,5,51,72,"Blue Springs town, Alabama",01,07672
54,9580,90,166,264,104,62,23,180,109,257,160,99,135,9172,202,0,43,0,29,1138,1649,224,1309,787,243,19,1740,4867,4598,"Boaz city, Alabama",01,07912
55,602,6,1,4,0,0,0,0,0,3,2,3,0,30,572,0,0,0,0,0,19,0,202,29,4,3,399,239,363,"Boligee town, Alabama",01,08104
56,100,2,2,7,0,0,0,0,3,4,0,0,0,72,21,3,0,0,0,0,18,0,30,0,5,0,11,51,49,"Bon Air town, Alabama",01,08248
57,1078,0,29,0,46,20,0,0,0,0,46,43,21,1003,0,0,75,0,0,0,205,0,453,22,0,0,217,502,576,"Bon Secour CDP, Alabama",01,08272
58,136,0,0,5,0,0,0,0,0,9,41,0,0,0,136,0,0,0,0,0,55,0,25,9,0,0,28,55,81,"Boykin CDP, Alabama",01,08680
59,938,0,16,21,26,23,16,1,18,22,29,24,5,471,452,5,0,0,0,13,201,3,171,111,62,0,188,454,484,"Brantley town, Alabama",01,09016
60,1015,0,6,5,0,11,0,0,0,33,0,5,8,725,105,0,0,0,54,95,68,0,204,51,29,0,128,445,570,"Brantleyville CDP, Alabama",01,09064
61,4874,58,42,76,77,10,6,31,81,27,87,10,0,2354,2441,16,0,0,8,141,505,27,1065,108,128,0,448,1540,1480,"Brent city, Alabama",01,09136
62,5279,63,65,152,81,41,87,101,55,163,128,120,113,2763,2282,15,117,0,23,0,1169,4,907,634,236,46,1308,2420,2618,"Brewton city, Alabama",01,09208
63,2330,17,17,40,29,25,3,77,10,52,60,24,4,1962,183,49,0,0,44,26,358,4,614,108,61,0,704,1016,1314,"Bridgeport city, Alabama",01,09328
64,2848,39,64,47,22,12,6,49,100,60,45,66,94,72,2575,9,0,0,163,179,604,22,607,113,54,0,916,1296,1552,"Brighton city, Alabama",01,09400
65,980,0,14,25,11,4,14,19,18,22,29,32,13,970,0,0,0,0,0,7,201,0,244,22,15,0,253,418,556,"Brilliant town, Alabama",01,09424
66,762,0,44,0,26,0,0,0,80,0,0,25,0,742,0,20,0,0,0,0,175,28,154,0,20,0,214,279,483,"Bristow Cove CDP, Alabama",01,09457
67,6748,0,59,98,10,45,42,33,112,123,17,49,19,4912,1040,39,299,0,307,661,607,10,431,1881,627,105,1082,3154,3594,"Brook Highland CDP, Alabama",01,09500
68,1323,25,20,7,20,2,0,11,18,53,21,4,13,969,343,4,4,0,0,5,194,6,251,26,23,0,343,647,676,"Brookside town, Alabama",01,09736
69,2085,5,17,24,22,6,3,16,27,21,14,3,9,1924,136,0,6,0,8,67,167,3,383,165,46,0,190,985,1100,"Brookwood town, Alabama",01,09808
70,151,0,12,0,0,0,18,0,0,0,0,0,0,151,0,0,0,0,0,0,30,19,25,16,0,0,62,108,43,"Broomtown CDP, Alabama",01,09880
71,2205,13,10,49,48,27,27,22,18,66,52,37,62,553,1597,14,0,0,0,13,431,49,555,119,64,3,675,1031,1174,"Brundidge city, Alabama",01,10240
72,49,0,25,0,0,0,0,0,24,0,0,0,0,49,0,0,0,0,0,0,49,0,0,0,0,0,0,25,24,"Bucks CDP, Alabama",01,10456
73,2240,14,15,30,25,29,37,33,41,35,53,80,8,1561,670,0,0,0,5,63,400,14,442,159,54,12,509,879,1233,"Butler town, Alabama",01,11032
74,13216,100,108,189,124,17,30,59,179,132,179,0,67,8861,3683,0,125,0,210,393,1184,42,1836,2243,767,46,623,6687,6504,"Calera city, Alabama",01,11416
75,1101,0,0,0,0,0,0,0,0,0,45,0,0,971,0,130,0,0,0,0,45,0,190,0,39,0,827,259,842,"Calvert CDP, Alabama",01,11488
76,2401,15,12,66,12,33,13,21,59,34,51,15,67,1039,1362,0,0,0,0,0,398,17,555,173,60,7,585,953,1328,"Camden city, Alabama",01,11512
77,1089,21,38,20,12,3,3,9,15,44,13,11,17,86,1003,0,0,0,0,4,206,4,238,50,15,12,445,479,610,"Camp Hill town, Alabama",01,11680
78,1490,16,48,11,24,6,0,25,10,37,40,23,17,1237,145,2,13,0,0,0,257,0,288,37,52,6,323,748,742,"Carbon Hill city, Alabama",01,12016
79,45,0,0,0,0,1,0,0,0,0,1,0,0,45,0,0,0,0,0,0,2,0,1,2,2,0,27,26,19,"Cardiff town, Alabama",01,12040
80,2425,15,18,18,11,0,14,34,16,35,10,7,18,2384,26,15,0,0,0,333,196,39,618,44,35,0,359,1289,1136,"Carlisle-Rockledge CDP, Alabama",01,12070
81,36,0,0,0,13,11,0,0,0,0,0,0,0,0,36,0,0,0,0,0,24,0,7,0,0,0,12,36,0,"Carlton CDP, Alabama",01,12112
82,343,4,0,8,11,3,0,0,8,11,5,2,0,343,0,0,0,0,0,1,52,0,61,22,3,0,28,196,147,"Carolina town, Alabama",01,12160
83,1039,9,31,8,19,10,9,25,16,20,20,12,0,485,508,0,0,0,4,74,179,2,166,59,18,0,381,479,488,"Carrollton town, Alabama",01,12304
84,499,13,10,13,10,27,21,0,13,15,8,22,2,334,159,0,0,0,0,0,154,8,127,24,7,0,181,236,263,"Castleberry town, Alabama",01,12496
85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,10,10,"Catherine CDP, Alabama",01,12544
86,2003,43,44,73,47,14,5,48,19,41,50,34,24,1788,197,12,0,0,6,29,442,36,413,81,81,10,391,937,1066,"Cedar Bluff town, Alabama",01,12760
87,16564,101,198,263,74,83,102,330,230,237,196,157,213,4343,11239,5,18,0,518,720,2184,38,2243,1200,312,20,4428,7262,9177,"Center Point city, Alabama",01,13264
88,3514,111,78,12,155,36,29,50,128,179,85,76,110,2909,541,30,0,0,0,14,1049,100,840,198,78,18,748,1500,1720,"Centre city, Alabama",01,13648
89,2686,42,71,78,10,11,0,8,45,51,57,78,91,2313,361,0,0,0,0,50,542,41,1018,160,54,20,232,1120,1442,"Centreville city, Alabama",01,13672
90,1077,23,33,19,10,4,0,14,7,22,35,12,51,777,294,0,0,0,0,63,230,0,236,88,63,0,219,583,369,"Chatom town, Alabama",01,14008
91,12199,141,138,145,124,42,9,93,168,285,68,67,53,11068,611,20,192,0,71,256,1333,33,1055,2503,875,80,561,5888,6250,"Chelsea city, Alabama",01,14104
92,790,27,26,23,31,8,4,8,12,22,29,24,11,606,175,9,0,0,0,3,225,15,135,39,23,0,231,393,396,"Cherokee town, Alabama",01,14152
93,5889,23,59,57,30,56,11,85,73,83,96,61,89,3035,2727,10,0,0,2,208,723,60,1033,244,151,5,2229,2655,3223,"Chickasaw city, Alabama",01,14392
94,4991,87,44,32,36,87,25,20,20,105,53,78,100,3047,1846,16,0,0,82,82,687,20,1255,257,64,0,1505,2431,2560,"Childersburg city, Alabama",01,14464
95,2572,0,47,68,62,12,0,39,52,71,10,27,19,2249,229,18,37,0,0,28,407,0,392,312,146,70,167,1257,1315,"Choccolocco CDP, Alabama",01,14728
96,158,0,0,10,23,0,0,0,10,0,10,0,0,20,138,0,0,0,0,0,53,0,27,23,0,0,0,91,67,"Chunchula CDP, Alabama",01,14968
97,3912,59,39,52,53,17,46,45,87,94,83,38,53,2999,741,162,0,0,0,0,666,35,945,241,80,16,811,1591,2252,"Citronelle city, Alabama",01,15064
98,8701,89,95,149,86,44,24,94,164,220,124,170,116,6298,1797,0,177,0,290,580,1375,128,1978,689,353,20,1642,3813,4573,"Clanton city, Alabama",01,15136
99,9685,191,149,222,103,57,51,137,247,160,118,138,109,7340,2027,0,157,0,0,38,1682,105,1688,1220,379,68,366,4469,5174,"Clay city, Alabama",01,15256
100,472,8,4,15,7,0,2,5,11,12,11,8,4,439,8,7,3,3,0,64,87,20,67,20,14,0,87,204,268,"Clayhatchee town, Alabama",01,15304
101,2912,48,17,18,8,7,4,63,21,15,18,21,35,1055,1800,17,8,0,7,50,275,12,451,95,28,13,496,547,826,"Clayton town, Alabama",01,15376
102,1223,6,27,7,60,16,9,36,18,58,43,0,15,1204,4,0,2,0,4,316,295,24,223,42,37,13,210,612,611,"Cleveland town, Alabama",01,15472
103,1029,13,31,9,0,6,4,46,11,25,19,4,41,341,533,0,0,0,155,218,209,0,186,18,3,0,359,453,576,"Clio city, Alabama",01,15640
104,1656,9,27,10,7,6,3,20,19,10,10,0,9,1407,200,0,0,0,0,111,130,7,250,162,21,0,232,814,842,"Coaling town, Alabama",01,16000
105,1644,10,9,27,48,0,9,31,0,85,10,0,10,1478,62,0,0,0,104,125,239,9,372,110,10,0,148,869,775,"Coats Bend CDP, Alabama",01,16080
106,200,1,1,6,6,11,5,2,0,6,10,5,6,169,29,0,0,0,0,0,59,3,40,9,2,0,61,104,96,"Coffee Springs town, Alabama",01,16240
107,405,0,10,2,10,0,2,4,7,9,12,3,2,195,183,0,0,0,0,0,61,10,89,12,5,2,116,152,245,"Coffeeville town, Alabama",01,16264
108,787,1,11,11,7,13,1,3,7,14,15,3,13,755,6,1,0,0,18,18,99,0,165,64,22,1,77,386,401,"Coker town, Alabama",01,16312
109,2126,8,30,18,43,21,11,15,12,17,19,44,97,1103,176,0,0,46,786,1007,335,83,363,76,19,0,612,1069,858,"Collinsville town, Alabama",01,16600
110,437,3,1,10,5,7,0,12,18,2,9,4,2,22,389,0,0,0,0,0,73,8,83,20,11,0,85,210,227,"Colony town, Alabama",01,16684
111,571,3,11,17,7,11,3,15,10,27,15,14,29,472,73,0,0,0,14,0,162,14,98,48,30,0,91,260,311,"Columbia town, Alabama",01,16744
112,4343,49,65,78,66,10,7,8,152,91,99,79,67,3025,1123,14,0,0,149,73,771,9,1079,312,243,10,622,1494,1902,"Columbiana city, Alabama",01,16768
113,1750,9,7,38,8,16,10,54,15,47,68,25,0,1732,0,0,0,0,0,0,297,0,439,99,49,16,83,808,942,"Concord CDP, Alabama",01,16936
114,1169,9,24,15,24,18,6,12,19,15,32,14,12,604,523,0,0,0,0,23,200,14,221,132,40,3,246,545,616,"Coosada town, Alabama",01,17176
115,2014,25,28,35,26,42,37,38,25,47,58,41,36,1748,253,0,0,0,0,0,438,28,504,11,18,0,683,990,919,"Cordova city, Alabama",01,17368
116,3746,0,11,74,32,24,6,38,33,34,115,62,9,2582,705,0,0,0,297,340,438,24,662,179,84,13,647,1743,2003,"Cottondale CDP, Alabama",01,17704
117,1281,10,11,21,20,17,11,6,25,42,30,22,29,883,364,9,0,0,0,14,244,19,315,57,10,0,282,633,648,"Cottonwood town, Alabama",01,17824
118,341,1,8,1,4,0,0,1,4,5,4,0,3,340,0,0,1,0,0,0,31,2,66,13,2,0,47,157,184,"County Line town, Alabama",01,17968
119,744,26,9,2,3,9,0,7,13,19,5,8,20,320,416,0,0,0,0,2,121,14,186,9,11,0,205,304,440,"Courtland town, Alabama",01,18040
120,2152,20,28,45,14,12,14,24,34,47,35,17,0,1710,196,6,46,0,63,94,290,28,440,177,38,13,454,1026,1126,"Cowarts town, Alabama",01,18088
121,1738,19,24,19,36,12,5,13,35,41,31,6,17,1454,182,19,6,0,65,15,258,0,430,151,41,0,279,872,866,"Creola city, Alabama",01,18304
122,2088,9,41,29,29,13,11,18,18,66,75,51,62,1882,6,59,0,0,141,190,422,25,497,57,97,27,626,922,1026,"Crossville town, Alabama",01,18856
123,438,6,16,6,11,3,1,12,10,24,6,3,2,384,46,8,0,0,0,0,100,0,86,83,45,4,81,205,230,"Cuba town, Alabama",01,18952
124,15111,127,164,285,252,172,116,204,208,328,336,374,243,14300,128,69,151,0,228,1025,2809,17,2238,1488,871,73,2441,6690,7909,"Cullman city, Alabama",01,18976
125,144,0,0,0,0,0,0,0,0,0,0,7,0,75,69,0,0,0,0,0,7,0,38,6,0,0,10,50,94,"Cullomburg CDP, Alabama",01,19024
126,114,6,1,2,8,1,0,7,0,8,3,0,2,113,0,0,1,0,0,0,38,0,17,8,5,2,8,55,59,"Cusseta town, Alabama",01,19216
127,3144,31,38,107,57,37,0,17,23,52,31,77,53,1446,1653,45,0,0,0,62,523,17,681,128,89,0,958,1391,1501,"Dadeville city, Alabama",01,19336
128,5138,14,13,120,47,12,0,99,91,47,98,20,33,3326,1093,13,84,0,308,627,594,79,766,419,118,0,1088,2149,2675,"Daleville city, Alabama",01,19360
129,24685,142,348,428,236,234,197,211,481,481,289,296,178,19850,3677,0,652,0,200,601,3521,72,3081,4676,1769,173,2862,12121,12270,"Daphne city, Alabama",01,19648
130,1262,20,63,64,48,15,14,27,46,36,21,20,18,1240,0,0,3,0,0,44,392,6,253,199,131,26,16,671,591,"Dauphin Island town, Alabama",01,19744
131,238,2,0,5,4,1,0,0,2,6,7,2,3,226,9,0,0,0,2,18,32,0,48,24,4,0,26,142,96,"Daviston town, Alabama",01,19816
132,28,1,0,0,1,0,0,0,0,0,1,1,0,24,4,0,0,0,0,0,4,0,0,1,3,0,19,13,15,"Dayton town, Alabama",01,19912
133,1141,2,4,18,12,2,5,2,7,17,18,4,0,933,174,0,3,0,0,37,91,0,174,132,52,4,43,568,567,"Deatsville town, Alabama",01,20008
134,54844,548,759,733,718,369,401,717,914,1208,856,794,1006,38190,11952,196,271,0,2687,7071,9023,723,7860,6754,1960,129,11725,25397,28556,"Decatur city, Alabama",01,20104
135,81,0,0,16,21,0,0,0,0,0,17,0,0,38,43,0,0,0,0,0,54,0,81,0,0,0,43,37,44,"Deer Park CDP, Alabama",01,20152
136,221,14,0,0,0,0,0,28,0,0,0,0,0,211,10,0,0,0,0,0,42,0,123,0,0,14,0,112,109,"Delta CDP, Alabama",01,20272
137,6999,71,80,41,108,58,20,118,149,147,123,64,94,3010,3946,0,0,0,43,43,1073,34,1303,670,324,42,1946,2933,3977,"Demopolis city, Alabama",01,20296
138,187,5,0,1,3,5,2,5,1,2,6,7,1,164,23,0,0,0,0,0,38,7,37,14,0,0,46,68,119,"Detroit town, Alabama",01,20392
139,569,12,6,5,6,7,3,3,11,14,18,8,2,558,0,0,0,3,0,8,95,2,155,22,4,0,67,257,312,"Dodge City town, Alabama",01,20955
140,2212,23,17,59,19,42,7,30,59,48,16,14,25,1770,397,1,9,0,0,0,359,38,501,85,56,4,390,1073,1139,"Dora city, Alabama",01,21136
141,67784,781,963,1123,811,650,412,905,1105,1534,1172,855,906,42368,22816,214,814,22,336,2203,11217,662,10817,7190,2987,364,13186,31463,35542,"Dothan city, Alabama",01,21184
142,1377,4,11,15,15,17,19,10,6,48,18,28,33,1133,73,21,0,0,6,6,224,14,315,54,26,0,374,552,654,"Double Springs town, Alabama",01,21280
143,1202,9,10,6,10,2,1,7,9,14,5,4,15,1185,0,0,0,0,12,89,92,5,208,30,13,0,319,574,628,"Douglas town, Alabama",01,21328
144,313,8,4,6,8,2,4,3,7,4,0,5,7,187,122,0,0,0,2,0,58,7,55,21,1,2,94,158,155,"Dozier town, Alabama",01,21448
145,899,7,26,42,17,0,9,35,15,34,28,0,0,842,0,0,22,0,0,0,213,15,157,106,8,9,137,463,436,"Dunnavant CDP, Alabama",01,21890
146,382,14,3,3,0,1,0,5,14,11,7,3,2,380,0,0,0,0,2,10,63,2,57,7,10,0,73,185,197,"Dutton town, Alabama",01,21952
147,3017,28,27,46,17,22,13,23,8,67,33,37,24,2157,831,0,0,0,0,171,345,10,716,98,28,0,736,1535,1482,"East Brewton city, Alabama",01,22216
148,175,0,15,16,0,0,0,0,43,0,0,17,0,175,0,0,0,0,0,0,91,28,0,44,0,0,0,81,94,"East Point CDP, Alabama",01,22504
149,983,3,0,22,15,4,4,9,7,36,8,6,27,792,131,0,0,0,0,74,141,8,191,84,19,0,74,437,546,"Eclectic town, Alabama",01,22816
150,813,32,7,0,0,7,5,0,0,34,6,19,11,326,487,0,0,0,0,0,121,0,131,43,0,0,258,335,478,"Edgewater CDP, Alabama",01,23032
151,236,0,0,4,0,0,0,0,2,2,5,0,5,235,0,0,0,0,0,0,18,0,40,10,1,0,18,118,118,"Edwardsville town, Alabama",01,23176
152,810,8,30,13,31,0,0,29,18,7,16,14,23,752,58,0,0,0,0,0,189,45,112,95,9,0,64,449,361,"Egypt CDP, Alabama",01,23224
153,3863,4,19,53,38,64,49,20,70,76,118,51,52,2029,1626,8,68,0,9,82,614,23,576,260,61,8,1025,1656,1882,"Elba city, Alabama",01,23296
154,1612,4,34,93,46,17,31,30,37,80,38,15,0,1542,11,42,0,0,0,73,425,10,387,159,62,0,282,743,869,"Elberta town, Alabama",01,23320
155,151,2,0,2,0,0,0,0,2,4,0,0,1,139,9,0,0,0,0,2,11,0,11,17,0,0,40,78,65,"Eldridge town, Alabama",01,23344
156,446,4,13,2,2,7,4,9,16,17,3,3,5,384,50,6,0,0,0,9,85,9,98,32,28,4,40,230,216,"Elkmont town, Alabama",01,23488
157,1717,21,30,13,16,22,2,28,12,34,6,13,3,1029,366,0,0,0,282,382,200,12,301,48,9,0,589,882,835,"Elmore town, Alabama",01,23656
158,47,0,3,0,3,0,0,0,3,5,0,0,2,11,36,0,0,0,0,0,16,0,11,4,0,0,0,16,31,"Emelle town, Alabama",01,23872
159,3104,61,36,21,31,0,0,35,31,11,17,0,0,2489,452,0,0,0,41,95,243,23,147,469,330,27,239,1518,1569,"Emerald Mountain CDP, Alabama",01,23880
160,27776,244,284,521,271,149,180,301,308,555,592,325,290,20016,6041,132,483,0,258,2373,4020,264,4212,3420,1543,197,4276,12592,14017,"Enterprise city, Alabama",01,24184
161,166,0,3,6,3,0,0,0,0,2,3,1,0,17,149,0,0,0,0,0,18,1,37,9,8,0,57,75,91,"Epes town, Alabama",01,24256
162,215,13,2,2,2,2,0,2,8,5,0,0,0,137,72,0,0,0,0,0,36,0,63,16,0,0,92,130,85,"Ethelsville town, Alabama",01,24472
163,12467,121,135,286,133,175,49,77,242,311,266,248,124,5511,6256,8,126,0,486,570,2167,164,2382,864,426,56,3602,5961,6361,"Eufaula city, Alabama",01,24568
164,311,0,0,60,0,0,0,0,60,0,0,0,0,311,0,0,0,0,0,39,120,0,83,0,0,0,32,161,137,"Eunola CDP, Alabama",01,24616
165,2761,119,12,49,26,15,32,159,47,29,73,88,34,551,2174,0,0,0,0,36,683,42,612,197,49,29,1013,889,1819,"Eutaw town, Alabama",01,24664
166,584,5,15,6,16,7,5,3,8,12,14,10,8,576,0,0,4,0,0,0,109,0,101,55,37,2,46,324,260,"Eva town, Alabama",01,24688
167,3742,40,54,40,68,18,40,59,103,75,42,31,161,1417,2125,0,0,0,0,113,731,17,1129,108,29,0,1563,1418,2278,"Evergreen city, Alabama",01,24808
168,1092,6,15,9,18,7,0,5,20,34,20,0,15,952,76,8,3,0,0,0,149,12,307,49,68,0,212,483,609,"Excel town, Alabama",01,24880
169,10850,93,188,181,45,33,37,147,176,229,220,129,169,555,9953,31,0,0,3,86,1647,20,1997,877,374,0,2555,4439,6307,"Fairfield city, Alabama",01,25120
170,87,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,23,0,0,0,43,47,40,"Fairford CDP, Alabama",01,25216
